[2021-03-23 13:24:44.402910] [14973] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: IF*
[2021-03-23 13:24:44.785623] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4873.6, Volume: 14965
[2021-03-23 13:24:44.785785] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71603
[2021-03-23 13:24:44.785901] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:45.487115] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4873.6, Volume: 14965
[2021-03-23 13:24:45.487276] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71603
[2021-03-23 13:24:45.487407] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:45.758882] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4873.6, Volume: 14965
[2021-03-23 13:24:45.767739] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71611
[2021-03-23 13:24:46.304525] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4873.6, Volume: 14965
[2021-03-23 13:24:46.304759] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.4, Volume: 71618
[2021-03-23 13:24:46.976400] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4873.6, Volume: 14965
[2021-03-23 13:24:46.976572] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71620
[2021-03-23 13:24:47.474446] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71620
[2021-03-23 13:24:47.775292] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71620
[2021-03-23 13:24:48.491695] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.2, Volume: 71620
[2021-03-23 13:24:48.783245] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.8, Volume: 71623
[2021-03-23 13:24:49.288854] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.6, Volume: 71624
[2021-03-23 13:24:49.973423] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 14966
[2021-03-23 13:24:49.982672] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.6, Volume: 71624
[2021-03-23 13:24:50.266441] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 14967
