[2021-03-24 16:47:28.406073] [18856] [info] [MyMarketSpi.cpp:57(MyMarketSpi::OnRspSubMarketData)] OnRspSubMarketData, subscribe success: *
[2021-03-24 16:47:28.407280] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407303] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407317] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407330] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407342] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407355] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407367] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407381] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407393] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407406] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407418] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407432] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: zn2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407444] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407456] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407469] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407482] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407494] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407506] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407519] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407531] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: y2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407544] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407557] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407569] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407581] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407593] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407700] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407715] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407732] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407744] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407756] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407769] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407782] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: wr2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407794] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407806] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407818] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407830] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407843] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407856] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407869] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407881] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407893] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2107, price: 0, vol: 0, updateTime: 
